★scn00000★ 01_妃愛12_2.txt
☆scn00000☆ 01_妃愛12_2.txt

★nme00001★ 智宏
☆nme00001☆ 智宏

★txt00002★ 「『大切な君へ』」
☆txt00002☆ 「『献给最重视的你』」

★scn00003★ 01_妃愛12_2.txt
☆scn00003☆ 01_妃愛12_2.txt

★nme00004★ 智宏
☆nme00004☆ 智宏

★txt00005★ 「生まれてきてくれてありがとう。初めて出会ってから、君という家族の存在に感謝しなかった日はありません」
☆txt00005☆ 「谢谢你能来到这个世界上。从相遇的第一天开始，我的心中一直都充斥着对你的感谢之情。」

★scn00006★ 01_妃愛12_2.txt
☆scn00006☆ 01_妃愛12_2.txt

★nme00007★ 智宏
☆nme00007☆ 智宏

★txt00008★ 「年の近い兄妹として君と遊ぶ時間は毎日の喜びであり、１年先に生まれた兄として君の成長する姿を見守るのは日々の楽しみでした」
☆txt00008☆ 「身为年龄相近的兄妹，和你一起玩耍的时光是每天的乐趣所在，而作为早一年出生的哥哥，看着你不断地成长则是我每天的期待。」

★scn00009★ 01_妃愛12_2.txt
☆scn00009☆ 01_妃愛12_2.txt

★nme00010★ 智宏
☆nme00010☆ 智宏

★txt00011★ 「なにせ君は、僕が普通の男の子として過ごしている間に、あれよあれよと大きな舞台で活躍して、世間でも知らない人間はいないほどに成長していくのです」
☆txt00011☆ 「毕竟在我作为一个普通男生过着普通的日子的时候，你一直在成长， 变成了一个活跃在各种各样的大舞台上面，世界上无人不知无人不晓的人。」

★scn00012★ 01_妃愛12_2.txt
☆scn00012☆ 01_妃愛12_2.txt

★nme00013★ 智宏
☆nme00013☆ 智宏

★txt00014★ 「テレビに映る君と、家で過ごす君を見比べるたびに、誇らしい気持ちでいっぱいでした。僕にとって１つ下の妹は、世界一自慢の家族になっていったのです」
☆txt00014☆ 「每次将电视上的身影和眼前的你重叠在一起，就会涌现出一种自豪的情感。这个小我一岁的妹妹，是世界上我最为之自豪的家人。」

★scn00015★ 01_妃愛12_2.txt
☆scn00015☆ 01_妃愛12_2.txt

★nme00016★ 
☆nme00016☆ 

★txt00017★ この１年で、卒業式の送辞や入学式の挨拶を経験して、多少なりとも人前で喋るのに慣れたつもりになっていた。
☆txt00017☆ 我在这一年间，经历了毕业典礼和入学典礼的致辞后，多少已经习惯了在人前讲话。

★scn00018★ 01_妃愛12_2.txt
☆scn00018☆ 01_妃愛12_2.txt

★nme00019★ 
☆nme00019☆ 

★txt00020★ ところが生徒会長として原稿を読むのと、感情を込めて手紙を読むのでは、まるで違うということを思いしらされた。
☆txt00020☆ 但是显然，作为学生会长读稿子，和饱含感情地读信，完全不是同一回事。

★scn00021★ 01_妃愛12_2.txt
☆scn00021☆ 01_妃愛12_2.txt

★nme00022★ 
☆nme00022☆ 

★txt00023★ ただ文章を読むだけで、兄妹なのに何故ここまで差があるのだろうと疑問に思うほど、去年の妃愛とは違う。あの朗読劇と比べたら、俺の読み方は国語の授業だ。
☆txt00023☆ 和去年的妃爱不一样，明明只是读一段文章，而且都是兄妹，为什么会有这么大的差距呢。和那个朗读剧相比，我读文章的方式就像日语教学一样。

★scn00024★ 01_妃愛12_2.txt
☆scn00024☆ 01_妃愛12_2.txt

★nme00025★ 
☆nme00025☆ 

★txt00026★ それでも部屋で一人の時に繰りかえしてきた練習を思いだし、目の前の文章を懸命に目で追いながら、気持ちを込めて声を発した。
☆txt00026☆ 但即使如此，我还是回忆着在房间一个人练习时的景象，一边努力地用视线扫过眼前的文章，再倾注感情读出来。

★scn00027★ 01_妃愛12_2.txt
☆scn00027☆ 01_妃愛12_2.txt

★nme00028★ 智宏
☆nme00028☆ 智宏

★txt00029★ 「本当に君は、僕なんかにもったいないほどよくできた妹です」
☆txt00029☆ 「你真的是太出色了，出色到让我感觉有些配不上。」

★scn00030★ 01_妃愛12_2.txt
☆scn00030☆ 01_妃愛12_2.txt

★nme00031★ 智宏
☆nme00031☆ 智宏

★txt00032★ 「それでも君の兄としての自信を失くしたことは一度としてありません。君の存在が誇りであるのと同時に、君の兄であるのは僕の誇りです」
☆txt00032☆ 「但是我从未失去过作为哥哥的自信。你的存在本身就是我的骄傲，同时我也很自豪能够成为你的哥哥。」

★scn00033★ 01_妃愛12_2.txt
☆scn00033☆ 01_妃愛12_2.txt

★nme00034★ 智宏
☆nme00034☆ 智宏

★txt00035★ 「今日はそのお礼を言わせてください。覚えているでしょうか、いつか僕が、なぜ僕を必要としたのか君に尋ねたときの言葉です」
☆txt00035☆ 「今天请让我向你道个谢。不知道你是否还记得，那是我对自己的必要性产生怀疑，向你寻求答案时所说过的话。」

★scn00036★ 01_妃愛12_2.txt
☆scn00036☆ 01_妃愛12_2.txt

★nme00037★ 智宏
☆nme00037☆ 智宏

★txt00038★ 「君の兄である自信を失くしたことはないと言いましたが、失くしかけたことは一度だけありました。僕と君が二人きりになって、しばらくしてからの時期です」
☆txt00038☆ 「虽然刚刚说从未失去作为哥哥的自信，但是实际上有过一次，我对自己产生了怀疑。那还是在我们开始相依为命没多久的时候。」

★scn00039★ 01_妃愛12_2.txt
☆scn00039☆ 01_妃愛12_2.txt

★nme00040★ 智宏
☆nme00040☆ 智宏

★txt00041★ 「病院で泣いている君を見て、大切な妹を守ろうと心に誓いました。１年先に生まれた兄として、それは当然の義務だと信じていたからです」
☆txt00041☆ 「看到那个在医院中哭泣的身影后，我下定了决心，一定要守护我最重要的妹妹。这是早一年出生的哥哥所必须尽到的义务。」

★scn00042★ 01_妃愛12_2.txt
☆scn00042☆ 01_妃愛12_2.txt

★nme00043★ 智宏
☆nme00043☆ 智宏

★txt00044★ 「だけど僕は家事をするのも初めてで、法律の知識もなく、葬儀の手配もできず、何から何まで大人任せでした」
☆txt00044☆ 「但是我在那之前没有做过家务，也没有法律相关的知识，连葬礼的准备也做不到，最后全部都交给大人来解决了。」

★scn00045★ 01_妃愛12_2.txt
☆scn00045☆ 01_妃愛12_2.txt

★nme00046★ 智宏
☆nme00046☆ 智宏

★txt00047★ 「君が以前と同じように仕事のできる環境を作るため、家庭のことを一手に引きうけるつもりでいましたが、そのための知識と能力が僕にはありませんでした」
☆txt00047☆ 「虽然很想把家里的事全揽到自己身上，给你营造出一个可以和以前一样工作的环境，但我并不具备那些知识和能力。」

★scn00048★ 01_妃愛12_2.txt
☆scn00048☆ 01_妃愛12_2.txt

★nme00049★ 智宏
☆nme00049☆ 智宏

★txt00050★ 「頼れる父を見てきた長男として、妹を守るために何ひとつ行動できない己に、兄としての自信を失くしかけました」
☆txt00050☆ 「作为一直看着可靠父亲的大哥，在保护妹妹这一点上却起不到任何作用，看着这样的自己，我逐渐失去作为哥哥的自信。」

★scn00051★ 01_妃愛12_2.txt
☆scn00051☆ 01_妃愛12_2.txt

★nme00052★ 智宏
☆nme00052☆ 智宏

★txt00053★ 「でも君が、僕がそばにいてくれてよかったと言ってくれたから、兄としての自信を取りもどせました。僕は考えかたを変えることにしたんです」
☆txt00053☆ 「但你对我说，有我在身边真好，让我找回了作为哥哥的自信。在那之后我改变了自己的想法。」

★scn00054★ 01_妃愛12_2.txt
☆scn00054☆ 01_妃愛12_2.txt

★nme00055★ 智宏
☆nme00055☆ 智宏

★txt00056★ 「目の前の辛い時期を乗りきるための賢さではなく、これから長い時間を君と共に過ごす強さをゆっくりでいいから身につけていこう。そう思うようになりました」
☆txt00056☆ 「我所需的不是度过眼前艰难岁月的智慧，而是在此之后和你一起共同度过沧海桑田的坚强，所以我会在往后的生活中朝着这方面努力的。这也是心态上的转变吧。」

★scn00057★ 01_妃愛12_2.txt
☆scn00057☆ 01_妃愛12_2.txt

★nme00058★ 智宏
